reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2021-08-0468,2,Imposé par arrêté préfectoral,Alimentation,Lait et produits laitiers,Milka,Mini-Cones 8x25ml Milka,voir liste des produits en pièce jointe,Boîte de 8 mini cones,Du 08/10/2020 au 16/08/2021,Produit à conserver au congélateur,,Mini-Cones 8x25ml Milka,France entière,CARREFOUR  CASINO  CEGES BELGIQUE   EURELEC  GPS UNISSON INTERMARCHE   ITM PROXI  MONOPRIX,"La société Froneri procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite réglementaire, dans des gommes gélifiantes entrant dans la composition.",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales règlementaires dans une matière première entrant dans la composition.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,samedi 16 octobre 2021,Pour toute questions vous pouvez contacter ce n° de telephone dédié : 09.74.36.15.77,https://rappel.conso.gouv.fr/image/2e019a48-4d22-40f1-8888-a95b9ee54367.jpg,https://rappel.conso.gouv.fr/document/431e9e76-a3bd-4629-a84e-83bef93767ae/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3129/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3129/Interne,938E11C4-8D5B-4D9B-8FB3-AC750231F9F4,2021-08-17
2021-07-1068,3,Volontaire (sans arrêté préfectoral),Alimentation,Miel et gelée royale,coté miel,"gencod 3520059900672
gencod 3520059912408",3520059900672 190523LV Date de durabilité minimale 19/05/2023 3520059912408 190523LV Date de durabilité minimale 19/05/2023,POT HEXAGONAL 375G,Du 04/06/2021 au 27/07/2021,Produit à conserver à température ambiante,,uniquement le miel d'acacia avec la date 19/05/23,France entière,LECLERC CARREFOUR INTERMARCHE CORA,Présence de traces de pesticide dans le miel : oxymatrine.,Autres contaminants chimiques,,,Ne plus utiliser le produit Rapporter le produit au point de vente,238769456,Remboursement Echange,lundi 27 septembre 2021,,https://rappel.conso.gouv.fr/image/7b86534c-fa9f-47dc-b90d-82d046916728.jpg https://rappel.conso.gouv.fr/image/58dcba59-eb93-43a5-bc07-d7fa6eff63fb.jpg https://rappel.conso.gouv.fr/image/7d27ba0d-d974-4cbe-a06d-37622ef60962.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3152/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3152/Interne,DD18306B-422C-4F2D-BA21-472B4BF5BD98,2021-08-19
2021-08-0513,1,Volontaire (sans arrêté préfectoral),Alimentation,Céréales et produits de boulangerie,Heer,Heer Superior Basmati Rice 2KG,4019041005062 (A1)90025009 Date de consommation recommandée 01/08/2022,,Du 05/07/2021 au 05/08/2021,Produit à conserver à température ambiante,,,France entière,GFT FRance SARL,Présence de pesticides avec un dépassement de limites de pesticides.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,156301233,Remboursement Echange,dimanche 5 septembre 2021,,https://rappel.conso.gouv.fr/image/b000f511-a5df-46f7-8192-9fea1173b38e.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3155/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3155/Interne,53D18550-E91A-4884-A0A6-3BA15F6D4108,2021-08-19
2021-08-0526,1,Imposé par arrêté préfectoral,Alimentation,Produits sucrés,sorbet original,"Açai Native sorbet original  ( 1x480ml) code EAN : 5600308050186 , n° lot 1125B21 , DDM : 31/05/2023",5600308050186 1125B21 Date de durabilité minimale 31/05/2023,1x480ml,Du 27/07/2021 au 20/08/2021,Produit à conserver au congélateur,,,France entière,PANIER DU MONDE,résidus de pesticides (oxyde d'éthylène) à un taux supérieur à la limite réglementaire dans une matière première (caroube),Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente,238721120,Remboursement,dimanche 19 septembre 2021,,https://rappel.conso.gouv.fr/image/e75338de-c93b-4372-90c8-396ee276b3f8.jpg,,https://rappel.conso.gouv.fr/document/038d9f57-382b-4e54-b25d-45cd2e9d90b9/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3168/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3168/Interne,DFCC8069-218C-4FFC-85F4-0268CE23F857,2021-08-23
2021-08-0591,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,CUIVRAMINE,Non applicable,CU041F - CU169E - CU269E Date de durabilité minimale entre le 30/06/2022 et le 28/02/2023,Pilulier de 60 gélules,Du 03/09/2019 au 08/03/2021,Produit à conserver à température ambiante,,,France entière,EURODEP et pharmacies (Cf. fichier joint ci-dessous),"Teneur en oxyde d’éthylène non conforme dans la matière GINGEMBRE RACINE ES
lots F218687 et F218260. Le lot F218687 a été utilisé dans les lots Cuivramine CU041F et CU269E. Le lot F218260 a été utilisé dans le lot
Cuivramine CU169E.",Présence de substance interdite,,L'oxyde d'éthylène est une substance CMR,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur Détruire le produit,478309931,Echange,vendredi 22 octobre 2021,,https://rappel.conso.gouv.fr/image/35ad6dde-c917-4ae0-aa33-9fbb19b1572c.jpg,https://rappel.conso.gouv.fr/document/363ec385-883f-4e74-a08f-5d24eb175b6c/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/0ec3f424-f41b-49ee-8973-9445a6c21dc5/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/3240/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3240/Interne,DC401AC9-E694-49AB-803F-E92F42FB233E,2021-08-26
2021-08-0621,1,Volontaire (sans arrêté préfectoral),Alimentation,"Beurres d'origine végétale, graisses margarines et huiles",Provamel - Alpro,Provamel - Alpro,5411188124320 Tous les lots Date limite de consommation 20/12/2021 5411188124320 Tous les lots Date limite de consommation 03/01/2022 5411188124320 Tous les lots Date limite de consommation 17/01/2022 5411188124320 Tous les lots Date limite de consommation 24/01/2022 5411188124320 Tous les lots Date limite de consommation 31/01/2022,4031829230688,Du 30/08/2021 au 06/09/2021,Produit à conserver à température ambiante,,,"8, Rue du Tilleul - 67250 HOFFEN",L'Oasis - Épicerie & Drive B!O,"La raison de ce rappel est la présence d’oxyde d’éthylène dans la gomme de guar, qui est utilisée en
tant qu’épaississant.",Autres contaminants chimiques,,"La raison de ce rappel est la présence d’oxyde d’éthylène dans la gomme de guar, qui est utilisée en
tant qu’épaississant.",Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur,649878235,Remboursement,lundi 6 septembre 2021,,https://rappel.conso.gouv.fr/image/e7c532a7-bf20-40d1-b158-f35e8cc4d9f0.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3270/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3270/Interne,BC92B732-2012-47F8-8D76-63765BCE7172,2021-09-01
2021-09-0003,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Laboratoire Lescuyer,"Lithocal - piluliers de 90 comprimés
Lithocal - piluliers de 180 comprimés",Lot L130G Date de durabilité minimale 31/05/2023  Lot L187G Date de durabilité minimale 31/07/2023,Boites de 90 et 180 comprimés,Du 24/06/2021 au 27/08/2021,Produit à conserver à température ambiante,,,France entière,e-commerce,"Présence d'oxyde d'éthylène à une teneur supérieure à la limite réglementaire dans
un lot de matière première entrant dans la composition du complément alimentaire.",Présence de substance interdite,,Risque de dépassement de la limite autorisée en oxyde d'éthylène dans le produit fini,Ne plus consommer Contacter le point de vente,546563048,Remboursement Echange,vendredi 15 octobre 2021,,https://rappel.conso.gouv.fr/image/e3f76f7a-cf9d-4a7d-85a9-df88abc815d7.jpg https://rappel.conso.gouv.fr/image/207ec93a-ff54-406d-9f22-fd3df6890a36.jpg,https://rappel.conso.gouv.fr/document/0751bdaa-42c3-4dd0-9983-a949b1988067/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3291/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3291/Interne,B190A72C-727E-443D-AA7C-EDCAC60574B1,2021-09-01
2021-07-1116,2,Volontaire (sans arrêté préfectoral),Alimentation,Lait et produits laitiers,PEDONE GLACIER / ANGELINA,Crème glacée aux marrons façon Mont-Blanc 500mL,3760092342682 200227 200309 200312 200313 200427 200505 200506 200514 200615 200624 200702 200707 200728 Date de durabilité minimale entre le 28/02/2022 et le 31/07/2022,pot en carton de 500mL,Du 01/03/2020 au 11/06/2021,Produit à conserver au congélateur,,,France entière,MONOPRIX,Mise en évidence de la présence d’une teneur en oxyde d’éthylène supérieure à la limite autorisée par la réglementation européenne dans un ingrédient rentrant dans la composition des produits,Autres contaminants chimiques,,Présence d'un résidu d'oxyde d'éthylène au-delà de la limite réglementaire sur le stabilisant entrant dans la composition du produit.,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 1 septembre 2021,,https://rappel.conso.gouv.fr/image/799f67ed-c445-4ff2-8342-10f9bc55e586.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3296/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3296/Interne,ECBE1EC2-5C26-472D-8706-8E6F5CF73DC6,2021-09-01
2021-09-0057,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,ARPEGE,AR CURCUMA BIO,B200004 Date limite de consommation 01/02/2022,PILULIER PLASTIQUE DE 60 COMPRIMÉS DE 300 mg,Du 24/02/2020 au 31/08/2020,Produit à conserver à température ambiante,,"Pour 5 comprimés :
curcuma rhizome* (1500 mg), Antiagglomérant : carbonate de magnésium, Agent de charge : fibres d’acacia*, Antiagglomérant : talc, Pelliculage (maltodextrine*, antioxydant : lécithine*, huile de palme*, stabilisant : gomme de guar*)Extrait de poivre noir* à 95% de pipérine(2.5 mg dont 2,37 mg de pipérine.",Régions: Bretagne Pays-de-la-Loire,SOCIETE CEN-T-PHYTO,Présence d'oxyde d'éthylène dans une matière première (extrait de poivre) supérieure à la limite réglementaire risques encourus par le consommateur : dépassement des limites autorisées en pesticides.,Présence de substance interdite,,,Ne plus consommer Ne plus utiliser le produit Contacter le point de vente,251741499,Remboursement Echange,mardi 1 février 2022,,https://rappel.conso.gouv.fr/image/b13e845c-2041-4c7b-826e-3a396255a3de.jpg,https://rappel.conso.gouv.fr/document/4d97eaeb-70ff-4524-958e-6f4e3768ffac/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3347/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3347/Interne,CAACCA39-DBE8-40E0-9779-B9531766DAA5,2021-09-08
2021-09-0074,1,Volontaire (sans arrêté préfectoral),Alimentation,Autres,LEHNING,SOMMEIL LEHNING - complément alimentaire,3661744050125 CV172 Date de consommation recommandée 30/11/2023,Boite de 60 gélules (30 gélules JOUR + 30 gélules NUIT),Du 20/05/2021 au 23/06/2021,Produit à conserver à température ambiante,,,France entière,Pharmacies,Présence d'oxyde d'éthylène dans la mélatonine naturelle contenue dans la gélule NUIT du complément alimentaire SOMMEIL LEHNING.,Présence de substance interdite,,intoxication par oxyde d'éthylène,Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente,387767224,Autre (voir informations complémentaires),,"Présence d'oxyde d'éthylène dans la mélatonine naturelle contenue dans la gélule NUIT du complément alimentaire SOMMEIL LEHNING.
Rapporter le complément alimentaire SOMMEIL LEHNING au pharmacien qui l'a vendu.",https://rappel.conso.gouv.fr/image/d5681d53-eac4-4cd3-933d-761d13afeb2c.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3364/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3364/Interne,800806D2-CE5D-4EB9-A403-BA6089A2BE96,2021-09-14
2021-09-0189,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,EXHALESSENCE BEAUTE,Nutri+ Minceur,20/538 Date de consommation recommandée 30/11/2022,Coffret de 14 ampoules de 15 ml (poids net 210 ml),Du 01/03/2021 au 01/04/2021,Produit à conserver à température ambiante,,,France entière,Vendeurs à domicile indépendants agréés par EXHALESSENCE BEAUTE,Concentration en oxyde d'éthylène (résidu de pesticide non autorisé) à une teneur supérieure à la réglementation en vigueur.,Présence de substance interdite,,Le dépassement de la limite maximale résiduelle autorisée en oxyde d'éthylène présente un danger pour la santé humaine.,Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente,242070202,Remboursement,vendredi 15 octobre 2021,Nous invitons les consommateurs à contacter le vendeur à domicile.,https://rappel.conso.gouv.fr/image/0d785a6b-598e-4449-bf97-07886b9ae0e8.jpg,https://rappel.conso.gouv.fr/document/65c0be18-512e-430d-9094-07fc28a29663/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3483/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3483/Interne,836A30E3-C5E6-4312-8941-961706ADD410,2021-09-17
2021-09-0190,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,EXHALESSENCE BEAUTE,Nutri+ Tonique & Bien-Etre,19/511 Date de consommation recommandée 30/11/2022,Coffret de 14 ampoules de 15ml (volume net 210ml).,Du 01/12/2019 au 14/06/2021,Produit à conserver à température ambiante,,,France entière,Vendeurs à domicilie indépendants agréés par EXHALESSENCE BEAUTE,Concentration en oxyde d'éthylène (résidu de pesticide non autorisé) à une teneur supérieure à la réglementation en vigueur.,Présence de substance interdite,,Le dépassement de la limite maximale résiduelle autorisée en oxyde d'éthylène présente un danger pour la santé humaine.,Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente,242070202,Remboursement,vendredi 15 octobre 2021,Nous invitons les consommateurs à prendre contact avec le vendeur à domicile.,https://rappel.conso.gouv.fr/image/f4ea77d0-9dee-47a3-b8ee-b43a1d7b21cc.jpg,https://rappel.conso.gouv.fr/document/fc2f3320-1c23-4d1b-83a9-0b5f86ea0241/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3484/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3484/Interne,B77047ED-F16C-40AD-998B-63F81F87B2E9,2021-09-17
2021-09-0191,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,EXHALESSENCE BEAUTE,Nutri+ Détox,19/512 Date de consommation recommandée 30/11/2022  20/239 Date de consommation recommandée 30/06/2023  20/398 Date de consommation recommandée 30/09/2023  21/272 Date de consommation recommandée 30/04/2024,Coffret de 14 ampoules de 15ml (volume net 210ml),Du 20/12/2019 au 18/07/2021,Produit à conserver à température ambiante,,,France entière,Vendeurs à domicile indépendants agréés par EXHALESSENCE BEAUTE,Concentration en oxyde d'éthylène (résidu de pesticide non autorisé) à une teneur supérieure à la réglementation en vigueur.,Présence de substance interdite,,Le dépassement de la limite maximale résiduelle autorisée en oxyde d'éthylène présente un danger pour la santé humaine.,Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente,242070202,Remboursement,vendredi 15 octobre 2021,Nous invitons les consommateurs à contacter le vendeur à domicile.,https://rappel.conso.gouv.fr/image/7b2530ab-c044-4c39-a975-0529d938a6ff.jpg,https://rappel.conso.gouv.fr/document/6464dddf-f277-418d-87ee-0e726fc8c477/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/3485/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3485/Interne,223DC565-F134-4288-B949-0AC739595FA7,2021-09-17
2021-09-0203,1,Imposé par arrêté préfectoral,"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Bleu,MO2,M02,,,,,,France entière,detaillant,Présence de plomb et nickel supérieur à celle autorisée,Blessures externes,,Risque allergie,Ne plus utiliser le produit Rapporter le produit au point de vente,,Echange,mercredi 15 décembre 2021,,https://rappel.conso.gouv.fr/image/c2de8e3a-0dc1-47c8-a894-bf435b0122c5.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3497/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3497/Interne,DE8774B6-ABE0-462D-8FAF-0FDE2C4A415F,2021-10-01
2021-09-0337,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,OLIGOSANTE,Chaque gélule de GABA Oligosanté (acide gamma aminobutyrique) contient 250 mg de GABA associé à 150 mg de L-arginine,217 011B Date de durabilité minimale 01/06/2023,pilulier de 60 gélules d'origine végétale,Du 14/06/2021 au 18/09/2021,Produit à conserver à température ambiante,,,France entière,Laboratoires Oligosanté,"La société Oligosanté procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans les gélules entrant dans la composition",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales autorisée par la réglementation européenne dans le produit fini,Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur,153066500,Remboursement Echange,samedi 30 octobre 2021,Pour toute questions vous pouvez contacter ces n° de téléphone dédiés : 01.53.06.22.55 et 01.53.06.22.53,https://rappel.conso.gouv.fr/image/36da3165-bd1c-4760-b378-3d2daa084574.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3636/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3636/Interne,277EB510-DA12-42D0-9F89-4586C1AC119F,2021-09-24
2021-09-0338,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,OLIGOSANTE,Oligoflam' contient du Curcuma breveté Meriva® dosé à 300 mg par gélule,217390 Date de durabilité minimale 01/07/2024  217505 Date de durabilité minimale 01/09/2024,pilulier de 60 gélules d'origine végétale,Du 02/08/2021 au 18/09/2021,Produit à conserver à température ambiante,,,France entière,Laboratoires Oligosanté,"La société Oligosanté procède au rappel de certains lots de produits, suite à la découverte d'oxyde d'éthylène, au-delà de la limite règlementation, dans les gélules entrant dans la composition",Autres contaminants chimiques,,Présence d'un taux d'oxyde d'éthylène supérieur aux limites maximales autorisée par la réglementation européenne dans le produit fini,Ne plus consommer Rapporter le produit au point de vente Contacter le point de vente Contacter le service consommateur,153066500,Remboursement Echange,samedi 30 octobre 2021,Pour toute questions vous pouvez contacter ces n° de téléphone dédiés : 01.53.06.22.55 et 01.53.06.22.53,https://rappel.conso.gouv.fr/image/fb533698-04c5-4fce-9569-fda658f38f07.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/3637/Interne,https://rappel.conso.gouv.fr/fiche-rappel/3637/Interne,83B1FA71-8519-494B-B8E1-5C458636F4DF,2021-09-24
